Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                           Source File           Start Address
----------------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  -----------------  ----------------------------------------  --------------------  -------------
H5SL_search                                16.712s                  16.712s                        0.040s                       16.672s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_search                               H5SL.c                0x523296     
H5C_protect                                13.256s                  13.256s                        0.030s                       13.226s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_protect                               H5C.c                 0xd69c9      
H5C_unprotect                               7.582s                   7.582s                        0.010s                        7.572s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_unprotect                             H5C.c                 0xdae21      
H5O__assert                                 6.730s                   6.730s                            0s                        6.730s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__assert                               H5Odbg.c              0x3b7e85     
H5SL_remove                                 6.518s                   6.518s                        0.030s                        6.488s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_remove                               H5SL.c                0x50ed11     
H5FL_reg_malloc                             6.457s                   6.457s                            0s                        6.457s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_malloc                           H5FL.c                0x276047     
H5SL_insert_common                          5.520s                   5.520s                        0.030s                        5.490s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_insert_common                        H5SL.c                0x507bf5     
__libc_malloc                               4.269s                   4.269s                        0.020s                        4.249s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __libc_malloc                             [Unknown]             0x856b0      
H5FL_reg_free                               2.896s                   2.896s                        0.010s                        2.886s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_free                             H5FL.c                0x275d87     
H5O__sdspace_decode                         2.621s                   2.621s                        0.010s                        2.611s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__sdspace_decode                       H5Osdspace.c          0x3feba4     
H5AC_unprotect                              2.550s                   2.550s                        0.010s                        2.540s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5AC_unprotect                            H5AC.c                0x8d8ef      
H5C__flush_single_entry                     2.430s                   2.430s                        0.010s                        2.420s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C__flush_single_entry                   H5C.c                 0xe7898      
H5AC_protect                                2.337s                   2.337s                            0s                        2.337s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5AC_protect                              H5AC.c                0x8ca60      
H5_checksum_lookup3                         2.321s                   2.321s                        0.030s                        2.291s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5_checksum_lookup3                       H5checksum.c          0x557a5      
__memcpy_ssse3_back                         2.278s                   2.278s                        0.010s                        2.268s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memcpy_ssse3_back                       [Unknown]             0x154a40     
H5FL_arr_malloc                             2.193s                   2.193s                            0s                        2.193s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_arr_malloc                           H5FL.c                0x278b70     
__memcmp_sse4_1                             2.090s                   2.090s                            0s                        2.090s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memcmp_sse4_1                           [Unknown]             0x169fb0     
__memset_sse2                               1.981s                   1.981s                        0.010s                        1.971s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memset_sse2                             [Unknown]             0x8f970      
H5HF__man_op_real                           1.910s                   1.910s                        0.010s                        1.900s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__man_op_real                         H5HFman.c             0x30ee99     
