Function                                     CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                                       Source File           Start Address
-------------------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  ---------------  ----------------------------------------------------  --------------------  -------------
detect_preserve_dimids                         6.010s                   6.010s                        0.010s                        6.000s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  detect_preserve_dimids                                [Unknown]             0x84e8c      
H5SL_iterate                                   4.480s                   4.480s                            0s                        4.480s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_iterate                                          H5SL.c                0x52cd46     
nclistget                                      4.040s                   4.040s                            0s                        4.040s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  nclistget                                             [Unknown]             0x39836      
attach_dimscales                               3.740s                   3.740s                            0s                        3.740s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  attach_dimscales                                      [Unknown]             0x81fb7      
H5VL_object_data                               3.240s                   3.240s                            0s                        3.240s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VL_object_data                                      H5VLint.c             0x6af839     
H5D__flush_real                                3.191s                   3.191s                            0s                        3.191s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__flush_real                                       H5Dint.c              0x190a5a     
write_var                                      2.918s                   2.918s                            0s                        2.918s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  write_var                                             [Unknown]             0x823d5      
nc4_rec_write_groups_types                     2.910s                   2.910s                            0s                        2.910s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  nc4_rec_write_groups_types                            [Unknown]             0x831c7      
nc4_rec_write_metadata                         2.802s                   2.802s                        0.010s                        2.792s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  nc4_rec_write_metadata                                [Unknown]             0x82eef      
H5D__flush_all_cb                              2.771s                   2.771s                        0.020s                        2.751s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__flush_all_cb                                     H5Dint.c              0x192285     
H5I__iterate_cb                                1.449s                   1.449s                            0s                        1.449s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5I__iterate_cb                                       H5I.c                 0x34465c     
ncindexith                                     1.440s                   1.440s                        0.010s                        1.430s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  ncindexith                                            [Unknown]             0xe79c1      
H5_checksum_lookup3                            1.440s                   1.440s                            0s                        1.440s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5_checksum_lookup3                                   H5checksum.c          0x557a5      
write_attlist                                  1.180s                   1.180s                        0.010s                        1.170s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  write_attlist                                         [Unknown]             0x8050e      
H5SL_search                                    1.000s                   1.000s                            0s                        1.000s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_search                                           H5SL.c                0x523296     
H5SL_insert_common                             0.880s                   0.880s                            0s                        0.880s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_insert_common                                    H5SL.c                0x507bf5     
H5D__flush_sieve_buf                           0.680s                   0.680s                            0s                        0.680s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__flush_sieve_buf                                  H5Dint.c              0x1906f3     
