Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                           Source File           Start Address
----------------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  -----------------  ----------------------------------------  --------------------  -------------
H5_checksum_lookup3                         0.850s                   0.850s                            0s                        0.850s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5_checksum_lookup3                       H5checksum.c          0x557a5      
__libc_malloc                               0.580s                   0.580s                            0s                        0.580s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __libc_malloc                             [Unknown]             0x856b0      
H5SL_search                                 0.497s                   0.497s                            0s                        0.497s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_search                               H5SL.c                0x523296     
H5FL_reg_malloc                             0.460s                   0.460s                            0s                        0.460s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_malloc                           H5FL.c                0x276047     
H5C_protect                                 0.410s                   0.410s                            0s                        0.410s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_protect                               H5C.c                 0xd69c9      
H5O__sdspace_decode                         0.339s                   0.339s                            0s                        0.339s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__sdspace_decode                       H5Osdspace.c          0x3feba4     
H5MM__sanity_check_block                    0.300s                   0.300s                            0s                        0.300s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM__sanity_check_block                  H5MM.c                0x372692     
pread                                       0.276s                   0.276s                        0.013s                        0.263s                          0s                             0s                            0s                  0s                      0s  libc.so.6          pread                                     [Unknown]             0xee070      
H5O_dtype_decode_helper                     0.260s                   0.260s                            0s                        0.260s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_dtype_decode_helper                   H5Odtype.c            0x3bda68     
_int_free                                   0.240s                   0.240s                            0s                        0.240s                          0s                             0s                            0s                  0s                      0s  libc.so.6          _int_free                                 [Unknown]             0x80d80      
H5C_unprotect                               0.220s                   0.220s                            0s                        0.220s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_unprotect                             H5C.c                 0xdae21      
calloc                                      0.210s                   0.210s                            0s                        0.210s                          0s                             0s                            0s                  0s                      0s  libc.so.6          calloc                                    [Unknown]             0x860d0      
H5SL_insert_common                          0.210s                   0.210s                            0s                        0.210s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_insert_common                        H5SL.c                0x507bf5     
__strcmp_sse42                              0.210s                   0.210s                            0s                        0.210s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strcmp_sse42                            [Unknown]             0x13ed90     
H5O_attr_decode                             0.200s                   0.200s                            0s                        0.200s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_attr_decode                           H5Oattr.c             0x394775     
H5MM_memcpy                                 0.200s                   0.200s                            0s                        0.200s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM_memcpy                               H5MM.c                0x373336     
__memcmp_sse4_1                             0.190s                   0.190s                            0s                        0.190s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memcmp_sse4_1                           [Unknown]             0x169fb0     
H5A__attr_cmp_name_inc                      0.180s                   0.180s                            0s                        0.180s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__attr_cmp_name_inc                    H5Aint.c              0x82611      
H5A__close                                  0.180s                   0.180s                            0s                        0.180s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__close                                H5Aint.c              0x805ef      
H5FL_arr_malloc                             0.178s                   0.178s                            0s                        0.178s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_arr_malloc                           H5FL.c                0x278b70     
H5FL_reg_calloc                             0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_calloc                           H5FL.c                0x2762f9     
__memset_sse2                               0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memset_sse2                             [Unknown]             0x8f970      
__memcpy_ssse3_back                         0.150s                   0.150s                            0s                        0.150s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memcpy_ssse3_back                       [Unknown]             0x154a40     
H5HF__man_op_real                           0.150s                   0.150s                            0s                        0.150s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__man_op_real                         H5HFman.c             0x30ee99     
H5FL_arr_free                               0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_arr_free                             H5FL.c                0x27880d     
H5S_select_release                          0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_select_release                        H5Sselect.c           0x4fb967     
H5FL_blk_malloc                             0.120s                   0.120s                        0.010s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_malloc                           H5FL.c                0x27737a     
H5HF_dtable_lookup                          0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF_dtable_lookup                        H5HFdtable.c          0x2f7e83     
H5O__assert                                 0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__assert                               H5Odbg.c              0x3b7e85     
H5B2__iterate_node                          0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2__iterate_node                        H5B2int.c             0xba166      
qsort_r                                     0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libc.so.6          qsort_r                                   [Unknown]             0x38e90      
H5MM_malloc                                 0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM_malloc                               H5MM.c                0x3728c4     
H5FL_blk_free                               0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_free                             H5FL.c                0x27789c     
H5SL_remove                                 0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_remove                               H5SL.c                0x50ed11     
H5A__get_info                               0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__get_info                             H5Aint.c              0x7f7fa      
H5MM_xfree                                  0.080s                   0.080s                            0s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM_xfree                                H5MM.c                0x37317a     
H5A__dense_btree2_name_decode               0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__dense_btree2_name_decode             H5Abtree2.c           0x6eeb3      
H5F_sizeof_size                             0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_sizeof_size                           H5Fquery.c            0x227cbb     
H5CX_get_tag                                0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_get_tag                              H5CX.c                0x126979     
H5G_name_free                               0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5G_name_free                             H5Gname.c             0x2baf07     
H5FL_reg_free                               0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_free                             H5FL.c                0x275d87     
H5AC_protect                                0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5AC_protect                              H5AC.c                0x8ca60      
H5A__dense_iterate_bt2_cb                   0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__dense_iterate_bt2_cb                 H5Adense.c            0x74c0d      
H5O_msg_free                                0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_free                              H5Omessage.c          0x3eee46     
free                                        0.060s                   0.060s                        0.010s                        0.050s                          0s                             0s                            0s                  0s                      0s  libc.so.6          free                                      [Unknown]             0x85ad0      
H5A__dense_copy_fh_cb                       0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__dense_copy_fh_cb                     H5Adense.c            0x738d2      
H5_hash_string                              0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5_hash_string                            H5checksum.c          0x55d19      
