Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                                 Source File           Start Address
----------------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  -----------------  ----------------------------------------------  --------------------  -------------
H5_checksum_lookup3                         6.940s                   6.940s                        0.192s                        6.748s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5_checksum_lookup3                             H5checksum.c          0x557a5      
H5SL_search                                 4.819s                   4.819s                            0s                        4.819s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_search                                     H5SL.c                0x523296     
H5SL_remove                                 2.611s                   2.611s                            0s                        2.611s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_remove                                     H5SL.c                0x50ed11     
H5O__assert                                 2.570s                   2.570s                            0s                        2.570s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__assert                                     H5Odbg.c              0x3b7e85     
H5SL_insert_common                          2.419s                   2.419s                        0.010s                        2.409s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_insert_common                              H5SL.c                0x507bf5     
H5C_protect                                 2.320s                   2.320s                        0.020s                        2.300s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_protect                                     H5C.c                 0xd69c9      
__libc_malloc                               2.155s                   2.155s                        0.040s                        2.115s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __libc_malloc                                   [Unknown]             0x856b0      
__memcpy_ssse3_back                         1.720s                   1.720s                        0.010s                        1.710s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memcpy_ssse3_back                             [Unknown]             0x154a40     
H5FL_reg_malloc                             1.263s                   1.263s                            0s                        1.263s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_malloc                                 H5FL.c                0x276047     
__memmove_ssse3_back                        1.220s                   1.220s                            0s                        1.220s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memmove_ssse3_back                            [Unknown]             0x159fe0     
