Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                       Source File    Start Address
------------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  ---------------  ------------------------------------  -------------  -------------
pread                                   8.470s                   8.470s                        1.757s                        6.714s                          0s                             0s                            0s                  0s                      0s  libc.so.6        pread                                 [Unknown]      0xee070      
__memcpy_ssse3_back                     3.727s                   3.727s                        0.460s                        3.267s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memcpy_ssse3_back                   [Unknown]      0x154a40     
__write                                 0.720s                   0.720s                            0s                        0.720s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __write                               [Unknown]      0xef9f0      
pwrite                                  0.514s                   0.514s                            0s                        0.514s                          0s                             0s                            0s                  0s                      0s  libc.so.6        pwrite                                [Unknown]      0xee0d0      
read                                    0.370s                   0.370s                            0s                        0.370s                          0s                             0s                            0s                  0s                      0s  libc.so.6        read                                  [Unknown]      0xef990      
__memset_sse2                           0.151s                   0.151s                            0s                        0.151s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memset_sse2                         [Unknown]      0x8f970      
H5_hash_string                          0.099s                   0.099s                        0.010s                        0.089s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5_hash_string                        H5checksum.c   0x55d19      
H5SL_search                             0.094s                   0.094s                        0.030s                        0.064s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_search                           H5SL.c         0x523296     
H5SL_insert_common                      0.089s                   0.089s                            0s                        0.089s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_insert_common                    H5SL.c         0x507bf5     
__open64                                0.047s                   0.047s                        0.047s                            0s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __open64                              [Unknown]      0xef750      
H5MM_memcpy                             0.040s                   0.040s                        0.010s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5MM_memcpy                           H5MM.c         0x373336     
close                                   0.038s                   0.038s                        0.038s                            0s                          0s                             0s                            0s                  0s                      0s  libc.so.6        close                                 [Unknown]      0xf0040      
H5S_select_shape_same                   0.030s                   0.030s                        0.020s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_select_shape_same                 H5Sselect.c    0x4ffc80     
H5FL_fac_malloc                         0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_fac_malloc                       H5FL.c         0x27a873     
H5S__hyper_iter_init                    0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_iter_init                  H5Shyper.c     0x4c0321     
H5SL_new_node                           0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_new_node                         H5SL.c         0x5079a0     
H5FL_fac_free                           0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_fac_free                         H5FL.c         0x27a5b3     
H5FL_reg_malloc                         0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_reg_malloc                       H5FL.c         0x276047     
H5D__typeinfo_init                      0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__typeinfo_init                    H5Dio.c        0x198f63     
H5C_protect                             0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_protect                           H5C.c          0xd69c9      
