Function                             CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                         Source File           Start Address
-----------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  ---------------  --------------------------------------  --------------------  -------------
pread                                  5.750s                   5.750s                            0s                        5.750s                          0s                             0s                            0s                  0s                      0s  libc.so.6        pread                                   [Unknown]             0xee070      
pwrite                                 2.981s                   2.981s                            0s                        2.981s                          0s                             0s                            0s                  0s                      0s  libc.so.6        pwrite                                  [Unknown]             0xee0d0      
compress2                              0.820s                   0.820s                            0s                        0.820s                          0s                             0s                            0s                  0s                      0s  libz.so.1        compress2                               [Unknown]             0xc520       
__memcpy_ssse3_back                    0.600s                   0.600s                            0s                        0.600s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memcpy_ssse3_back                     [Unknown]             0x154a40     
H5MM_memcpy                            0.470s                   0.470s                            0s                        0.470s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5MM_memcpy                             H5MM.c                0x373336     
H5VM_memcpyvv                          0.380s                   0.380s                            0s                        0.380s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VM_memcpyvv                           H5VM.c                0x6d2451     
inflate                                0.340s                   0.340s                            0s                        0.340s                          0s                             0s                            0s                  0s                      0s  libz.so.1        inflate                                 [Unknown]             0x7df0       
H5S__hyper_iter_get_seq_list_single    0.330s                   0.330s                            0s                        0.330s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_iter_get_seq_list_single     H5Shyper.c            0x4c539a     
H5VM_opvv                              0.231s                   0.231s                            0s                        0.231s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VM_opvv                               H5VM.c                0x6d1d95     
H5D__contig_writevv_sieve_cb           0.220s                   0.220s                            0s                        0.220s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__contig_writevv_sieve_cb            H5Dcontig.c           0x166133     
H5D__contig_readvv_sieve_cb            0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__contig_readvv_sieve_cb             H5Dcontig.c           0x164f71     
H5FL_reg_malloc                        0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_reg_malloc                         H5FL.c                0x276047     
H5SL_insert_common                     0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_insert_common                      H5SL.c                0x507bf5     
H5SL_search                            0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_search                             H5SL.c                0x523296     
H5FL_blk_malloc                        0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_blk_malloc                         H5FL.c                0x27737a     
__libc_malloc                          0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __libc_malloc                           [Unknown]             0x856b0      
H5D__chunk_hash_val                    0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__chunk_hash_val                     H5Dchunk.c            0x14edfe     
H5FL_arr_malloc                        0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_arr_malloc                         H5FL.c                0x278b70     
H5S__set_regular_hyperslab             0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__set_regular_hyperslab              H5Shyper.c            0x4df766     
H5PB_read                              0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5PB_read                               H5PB.c                0x4911ef     
H5_hash_string                         0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5_hash_string                          H5checksum.c          0x55d19      
H5SL_next                              0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_next                               H5SL.c                0x52c83c     
H5FD_read                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FD_read                               H5FDint.c             0x264dcb     
H5FL_reg_calloc                        0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_reg_calloc                         H5FL.c                0x2762f9     
H5S__hyper_iter_get_seq_list           0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_iter_get_seq_list            H5Shyper.c            0x4c5f52     
H5S_select_shape_same                  0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_select_shape_same                   H5Sselect.c           0x4ffc80     
H5FD_write                             0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FD_write                              H5FDint.c             0x2651f4     
H5P__create                            0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__create                             H5Pint.c              0x46baf1     
H5CX_get_dxpl                          0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5CX_get_dxpl                           H5CX.c                0x1262ca     
H5FD_sec2_read                         0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FD_sec2_read                          H5FDsec2.c            0x271162     
H5S__hyper_regular_and_single_block    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_regular_and_single_block     H5Shyper.c            0x4dfff1     
