Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                       Source File        Start Address
------------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  ---------------  ------------------------------------  -----------------  -------------
readproc                                0.370s                   0.370s                            0s                        0.370s                          0s                             0s                            0s                  0s                      0s  libprocps.so.4   readproc                              [Unknown]          0x96c0       
H5SL_search                             0.321s                   0.321s                        0.131s                        0.190s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_search                           H5SL.c             0x523296     
pwrite                                  0.311s                   0.311s                        0.012s                        0.299s                          0s                             0s                            0s                  0s                      0s  libc.so.6        pwrite                                [Unknown]          0xee0d0      
close                                   0.230s                   0.230s                        0.210s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc.so.6        close                                 [Unknown]          0xf0040      
H5O__assert                             0.202s                   0.202s                        0.072s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__assert                           H5Odbg.c           0x3b7e85     
__memcpy_ssse3_back                     0.180s                   0.180s                        0.020s                        0.160s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memcpy_ssse3_back                   [Unknown]          0x154a40     
H5SL_insert_common                      0.140s                   0.140s                        0.040s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_insert_common                    H5SL.c             0x507bf5     
__open64                                0.115s                   0.115s                        0.115s                            0s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __open64                              [Unknown]          0xef750      
H5_hash_string                          0.101s                   0.101s                        0.020s                        0.081s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5_hash_string                        H5checksum.c       0x55d19      
H5SL_remove                             0.090s                   0.090s                        0.020s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_remove                           H5SL.c             0x50ed11     
H5C_protect                             0.080s                   0.080s                        0.010s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_protect                           H5C.c              0xd69c9      
__libc_malloc                           0.070s                   0.070s                        0.030s                        0.040s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __libc_malloc                         [Unknown]          0x856b0      
H5FL_reg_malloc                         0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_reg_malloc                       H5FL.c             0x276047     
H5T_cmp                                 0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T_cmp                               H5T.c              0x5586ad     
H5FL_fac_malloc                         0.060s                   0.060s                        0.010s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_fac_malloc                       H5FL.c             0x27a873     
H5C_create                              0.060s                   0.060s                        0.040s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_create                            H5C.c              0xca438      
__memset_sse2                           0.050s                   0.050s                        0.010s                        0.040s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memset_sse2                         [Unknown]          0x8f970      
H5C_unprotect                           0.048s                   0.048s                        0.020s                        0.028s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_unprotect                         H5C.c              0xdae21      
H5MM_xfree                              0.041s                   0.041s                        0.010s                        0.031s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5MM_xfree                            H5MM.c             0x37317a     
OS_BARESYSCALL_DoCallAsmIntel64Linux    0.041s                   0.041s                        0.041s                            0s                          0s                             0s                            0s                  0s                      0s  libc-dynamic.so  OS_BARESYSCALL_DoCallAsmIntel64Linux  [Unknown]          0x70dec      
__memcmp_sse4_1                         0.039s                   0.039s                        0.010s                        0.029s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memcmp_sse4_1                       [Unknown]          0x169fb0     
flock                                   0.030s                   0.030s                        0.030s                            0s                          0s                             0s                            0s                  0s                      0s  libc.so.6        flock                                 [Unknown]          0xeff00      
H5MF__alloc_to_fs_type                  0.030s                   0.030s                        0.020s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5MF__alloc_to_fs_type                H5MF.c             0x35e69f     
H5CX__push_common                       0.030s                   0.030s                        0.010s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5CX__push_common                     H5CX.c             0x123881     
calloc                                  0.030s                   0.030s                        0.010s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc.so.6        calloc                                [Unknown]          0x860d0      
H5_checksum_lookup3                     0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5_checksum_lookup3                   H5checksum.c       0x557a5      
H5T__complete_copy                      0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T__complete_copy                    H5T.c              0x554b42     
H5CX_get_tag                            0.030s                   0.030s                        0.010s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5CX_get_tag                          H5CX.c             0x126979     
