Function                             CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                                       Source File           Start Address
-----------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  -----------------  ----------------------------------------------------  --------------------  -------------
compress2                              6.939s                   6.939s                            0s                        6.939s                          0s                             0s                            0s                  0s                      0s  libz.so.1          compress2                                             [Unknown]             0xc520       
H5SL_search                            5.341s                   5.341s                            0s                        5.341s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_search                                           H5SL.c                0x523296     
H5Z_filter_shuffle                     4.158s                   4.158s                            0s                        4.158s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Z_filter_shuffle                                    H5Zshuffle.c          0x6e1100     
H5_hash_string                         3.400s                   3.400s                            0s                        3.400s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5_hash_string                                        H5checksum.c          0x55d19      
H5SL_insert_common                     2.720s                   2.720s                        0.010s                        2.710s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_insert_common                                    H5SL.c                0x507bf5     
__memcpy_ssse3_back                    1.851s                   1.851s                            0s                        1.851s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memcpy_ssse3_back                                   [Unknown]             0x154a40     
H5FL_reg_malloc                        1.190s                   1.190s                            0s                        1.190s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_malloc                                       H5FL.c                0x276047     
H5FL_reg_free                          0.870s                   0.870s                            0s                        0.870s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_free                                         H5FL.c                0x275d87     
__memset_sse2                          0.781s                   0.781s                            0s                        0.781s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memset_sse2                                         [Unknown]             0x8f970      
H5FL_fac_malloc                        0.690s                   0.690s                            0s                        0.690s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_fac_malloc                                       H5FL.c                0x27a873     
H5FL_fac_free                          0.680s                   0.680s                            0s                        0.680s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_fac_free                                         H5FL.c                0x27a5b3     
H5S_select_shape_same                  0.660s                   0.660s                            0s                        0.660s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_select_shape_same                                 H5Sselect.c           0x4ffc80     
H5MM_memcpy                            0.630s                   0.630s                            0s                        0.630s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM_memcpy                                           H5MM.c                0x373336     
H5P__create                            0.570s                   0.570s                            0s                        0.570s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5P__create                                           H5Pint.c              0x46baf1     
H5SL_remove                            0.520s                   0.520s                            0s                        0.520s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_remove                                           H5SL.c                0x50ed11     
H5S__set_regular_hyperslab             0.459s                   0.459s                            0s                        0.459s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__set_regular_hyperslab                            H5Shyper.c            0x4df766     
