Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                       Source File           Start Address
------------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  ---------------  ------------------------------------  --------------------  -------------
__isoc99_fscanf                         0.180s                   0.180s                            0s                        0.180s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __isoc99_fscanf                       [Unknown]             0x6c2d0      
__fopen_internal                        0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __fopen_internal                      [Unknown]             0x6eba0      
H5O__assert                             0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__assert                           H5Odbg.c              0x3b7e85     
H5SL_insert_common                      0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_insert_common                    H5SL.c                0x507bf5     
[Outside any known module]              0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  [Unknown]        [Outside any known module]            [Unknown]             0            
_IO_fclose                              0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libc.so.6        _IO_fclose                            [Unknown]             0x6e040      
H5FL_fac_malloc                         0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_fac_malloc                       H5FL.c                0x27a873     
H5SL_search                             0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_search                           H5SL.c                0x523296     
OS_BARESYSCALL_DoCallAsmIntel64Linux    0.030s                   0.030s                        0.010s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc-dynamic.so  OS_BARESYSCALL_DoCallAsmIntel64Linux  [Unknown]             0x70dec      
H5_hash_string                          0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5_hash_string                        H5checksum.c          0x55d19      
__memcpy_ssse3_back                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memcpy_ssse3_back                   [Unknown]             0x154a40     
H5C_protect                             0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_protect                           H5C.c                 0xd69c9      
H5FL_arr_malloc                         0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_arr_malloc                       H5FL.c                0x278b70     
snprintf                                0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc.so.6        snprintf                              [Unknown]             0x534c0      
H5P_peek                                0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P_peek                              H5Pint.c              0x473ad3     
H5FL_fac_free                           0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_fac_free                         H5FL.c                0x27a5b3     
H5FL_reg_free                           0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_reg_free                         H5FL.c                0x275d87     
H5S_create                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_create                            H5S.c                 0x4b1823     
[Unknown stack frame(s)]                0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  [Unknown]        [Unknown stack frame(s)]              [Unknown]             0            
H5FL_reg_malloc                         0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_reg_malloc                       H5FL.c                0x276047     
