Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                                 Source File           Start Address
------------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  -----------------  ----------------------------------------------  --------------------  -------------
H5SL_search                             5.929s                   5.929s                        0.042s                        5.887s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_search                                     H5SL.c                0x523296     
H5O__assert                             5.079s                   5.079s                        0.040s                        5.039s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__assert                                     H5Odbg.c              0x3b7e85     
H5SL_insert_common                      2.791s                   2.791s                        0.020s                        2.771s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_insert_common                              H5SL.c                0x507bf5     
H5FL_blk_find_list                      2.660s                   2.660s                            0s                        2.660s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_find_list                              H5FL.c                0x276cb1     
H5SL_remove                             1.840s                   1.840s                            0s                        1.840s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_remove                                     H5SL.c                0x50ed11     
__libc_malloc                           1.452s                   1.452s                        0.040s                        1.412s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __libc_malloc                                   [Unknown]             0x856b0      
H5C_protect                             1.320s                   1.320s                        0.010s                        1.310s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_protect                                     H5C.c                 0xd69c9      
H5FL_reg_malloc                         1.250s                   1.250s                        0.020s                        1.230s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_malloc                                 H5FL.c                0x276047     
__memcpy_ssse3_back                     0.960s                   0.960s                        0.020s                        0.940s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memcpy_ssse3_back                             [Unknown]             0x154a40     
__memset_sse2                           0.850s                   0.850s                        0.010s                        0.840s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memset_sse2                                   [Unknown]             0x8f970      
H5_hash_string                          0.751s                   0.751s                        0.010s                        0.741s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5_hash_string                                  H5checksum.c          0x55d19      
H5C_unprotect                           0.750s                   0.750s                            0s                        0.750s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_unprotect                                   H5C.c                 0xdae21      
H5FL_reg_free                           0.740s                   0.740s                            0s                        0.740s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_free                                   H5FL.c                0x275d87     
_int_free                               0.721s                   0.721s                            0s                        0.721s                          0s                             0s                            0s                  0s                      0s  libc.so.6          _int_free                                       [Unknown]             0x80d80      
__memcmp_sse4_1                         0.630s                   0.630s                            0s                        0.630s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memcmp_sse4_1                                 [Unknown]             0x169fb0     
